party_genre_all_ref,party_name_ref,Top_10_Artist
Pop,HONNE,
Pop,Honor Society,
Pop,HRVY,
Pop,IDER,
Pop,In Real Life,
Pop,Inna,
Pop,Jack & Jack,
Pop,Jacob Sartorius,
Pop,Jacob Whitesides,
Pop,Jake Miller,
Pop,Jake Shears,
Pop,James Arthur,
Pop,Jamiroquai,
Pop,Jeffree Star,
Pop,Jeremy Zucker,
Pop,Jess Glynne,
Pop,Jesse McCartney,
Pop,Jessica 6,
Pop,Jessie J,
Pop,Joe Brooks,
Pop,Joe Jonas,
Pop,Joey Graceffa,
Pop,Johnny Orlando,
Pop,JoJo Siwa,
Pop,Jonas Brothers,
Pop,Joy Oladokun,
Pop,JP Cooper,
Pop,Julia Michaels,
Pop,Justin Bieber,
Pop,Justin Timberlake,
Pop,Kalin and Myles,
Pop,Karmin,
Pop,Katharine McPhee,
Pop,Katy Perry,
Pop,Kelly Clarkson,
Pop,Kesha,
Pop,Kylie Minogue,
Pop,Lady Gaga,
Pop,LANY,
Pop,Laura Marano,
Pop,Lauren Sanderson,
Pop,Lauv,
Pop,Lawson,
Pop,Lea Michele,
Pop,Leighton Meester,
Pop,Lennon Stella,
Pop,Léon,
Pop,Leroy Sanchez,
Pop,Lewis Capaldi,
Pop,Lily Allen,
Pop,Loote,
Pop,Louis Tomlinson,
Pop,Lukas Graham,
Pop,Mabel,
Pop,Madilyn Bailey,
Pop,Madison Beer,
Pop,Madonna,
Pop,MAGCON,
Pop,Maggie Rogers,
Pop,Maisie Peters,
Pop,Mandy Moore,
Pop,Marian Hill,
Pop,Mark Ronson,
Pop,MAX,
Pop,Megan and Liz,
Pop,Megan Nicole,
Pop,Meghan Trainor,
Pop,Melanie Martinez,
Pop,Michael Bublé,
Pop,MIKA,
Pop,Miley Cyrus,
Pop,Miranda Cosgrove,
Pop,Missy Higgins,
Pop,MKTO,
Pop,MØ,
Pop,Natasha Bedingfield,
Pop,New Hope Club,
Pop,New Kids on the Block,
Pop,Nick Carter,
Pop,Nick Jonas,
Pop,Nick Lachey,
Pop,Niykee Heaton,
Pop,Noah Cyrus,
Pop,Olivia Holt,
Pop,Olivia O'Brien,
Pop,One More Time,
Pop,O-Town,
Pop,Outasight,
Pop,Overcoats,
Pop,Owl City,
Pop,P!nk,
Pop,Pearla,
Pop,Pip The Pansy,
Pop,Point Break,
Pop,Poppy,
Pop,Push Baby,
Pop,Push Play,
Pop,R5,
Pop,Rachel Platten,
Pop,Radical Something,
Pop,Raven-Symoné,
Pop,Ricky Dillon,
Pop,RuPaul,
Pop,Ruth B.,
Pop,Sabrina Carpenter,
Pop,Sam Smith,
Pop,Sam Sparro,
Pop,Sam Tsui,
Pop,Satellite Mode,
Pop,Scissor Sisters,
Pop,Scotty Sire,
Pop,Selena Gomez,
Pop,SHAED,
Pop,Shawn Mendes,
Pop,Shawn Wasabi,
Pop,Sia,
Pop,Sigrid,
Pop,Skylar Stecker,
Pop,Smokey Robotic,
Pop,SOL,
Pop,Spice Girls,
Pop,Stevie B,
Pop,Summer Walker,
Pop,Superfruit,
Pop,Tate McRae,
Pop,Taylor Swift,
Pop,The Cheetah Girls,
Pop,The Cover Girls,
Pop,The Gregory Brothers,
Pop,The Janoskians,
Pop,The Lonely Biscuits,
Pop,The Polish Ambassador,
Pop,The Pretty Reckless,
Pop,The Veronicas,
Pop,The Wanted,
Pop,Timeflies,
Pop,Todrick Hall,
Pop,Tom Odell,
Pop,Tones and I,
Pop,Tove Lo,
Pop,Train,
Pop,Trixie Mattel,
Pop,Troye Sivan,
Pop,Tyler Ward,
Pop,Victoria Justice,
Pop,Whitney Houston,
Pop,Why Don't We,
Pop,Willow Smith,
Pop,Zack Fox,
Pop,Zak Downtown,
Pop,Zendaya,
Pop|Other Music,Miranda Sings,
Pop|Other Music,Myles Parrish,
Pop|R&B,Adele,
Pop|R&B,Alessia Cara,
Pop|R&B,Beyoncé,
Pop|R&B,Destiny's Child,
Pop|R&B,Donna Summer,
Pop|R&B,Emeli Sandé,
Pop|R&B,FKA twigs,
Pop|R&B,Giveon,
Pop|R&B,Janelle Monáe,
Pop|R&B,Jessie Reyez,
Pop|R&B,JoJo,
Pop|R&B,Jordin Sparks,
Pop|R&B,Kelly Rowland,
Pop|R&B,Kiana Ledé,
Pop|R&B,Mariah Carey,
Pop|R&B,Paloma Faith,
Pop|R&B,Rihanna,
Pop|R&B,Shoffy,
Pop|R&B,Solange,
Pop|R&B,SoMo,
Pop|R&B,The Weeknd,
Pop|R&B,Tinashe,
Pop|R&B,Tori Kelly,
Pop|R&B|Rap/Hip-Hop,Ciara,
Pop|R&B|Rap/Hip-Hop,Kehlani,
Pop|R&B|Rock,Banks,
Pop|R&B|Rock,Mansionair,
Pop|R&B|Rock,Wet,
Pop|Rap/Hip-Hop,3OH!3,
Pop|Rap/Hip-Hop,Aer,
Pop|Rap/Hip-Hop,Ali Gatie,
Pop|Rap/Hip-Hop,Blackbear,
Pop|Rap/Hip-Hop,Britney Spears,
Pop|Rap/Hip-Hop,Brockhampton,
Pop|Rap/Hip-Hop,Bryce Vine,
Pop|Rap/Hip-Hop,ericdoa,
Pop|Rap/Hip-Hop,Gym Class Heroes,
Pop|Rap/Hip-Hop,Hilltop Hoods,
Pop|Rap/Hip-Hop,Hoodie Allen,
Pop|Rap/Hip-Hop,Huey Mack,
Pop|Rap/Hip-Hop,Iggy Azalea,
Pop|Rap/Hip-Hop,Jason Derulo,
Pop|Rap/Hip-Hop,Jennifer Lopez,
Pop|Rap/Hip-Hop,KID QUILL,
Pop|Rap/Hip-Hop,LMFAO,
Pop|Rap/Hip-Hop,Macklemore & Ryan Lewis,
Pop|Rap/Hip-Hop,Mike Posner,
Pop|Rap/Hip-Hop,Nicki Minaj,
Pop|Rap/Hip-Hop,Nico & Vinz,
Pop|Rap/Hip-Hop,NIKI,
Pop|Rap/Hip-Hop,Omar LinX,
Pop|Rap/Hip-Hop,Pharrell Williams,
Pop|Rap/Hip-Hop,Quinn XCII,
Pop|Rap/Hip-Hop,Sam Lachow,
Pop|Rap/Hip-Hop,Sammy Adams,
Pop|Rap/Hip-Hop,Sean Kingston,
Pop|Rap/Hip-Hop,Shwayze,
Pop|Rap/Hip-Hop,Spose,
Pop|Rap/Hip-Hop,The Black Eyed Peas,
Pop|Rap/Hip-Hop,The Kid LAROI,
Pop|Rap/Hip-Hop,Timbaland,
Pop|Rap/Hip-Hop,Tkay Maidza,
Pop|Rap/Hip-Hop,Witt Lowry,
Pop|Rap/Hip-Hop,Wyclef Jean,
Pop|Rap/Hip-Hop|Rock,Brooke Candy,
Pop|Rap/Hip-Hop|Rock,Firefly Music Festival,
Pop|Rap/Hip-Hop|Rock,Mo Pop Festival,
Pop|Rock,Allie X,
Pop|Rock,Almost Monday,
Pop|Rock,Anna of the North,
Pop|Rock,Ashe,
Pop|Rock,ayokay,
Pop|Rock,Bananarama,
Pop|Rock,Betty Who,
Pop|Rock,Bishop Briggs,
Pop|Rock,Broods,
Pop|Rock,bülow,
Pop|Rock,Charlotte Cardin,
Pop|Rock,Chelsea Cutler,
Pop|Rock,Chelsea Jade,
Pop|Rock,Coldplay,
Pop|Rock,Coleman Hell,
Pop|Rock,Corrs,
Pop|Rock,Cyndi Lauper,
Pop|Rock,Daniel Powter,
Pop|Rock,Dermot Kennedy,
Pop|Rock,Dido,
Pop|Rock,dodie,
Pop|Rock,Dominic Fike,
Pop|Rock,Dorian Electra,
Pop|Rock,Dragonette,
Pop|Rock,Ed Maverick,
Pop|Rock,Ella Vos,
Pop|Rock,Elohim,
Pop|Rock,Emo Nite,
Pop|Rock,Frenship,
Pop|Rock,Gabrielle Aplin,
Pop|Rock,Gavin DeGraw,
Pop|Rock,George Michael,
Pop|Rock,Halsey,
Pop|Rock,HANA,
Pop|Rock,Hayley Kiyoko,
Pop|Rock,Holly Humberstone,
Pop|Rock,Hot Chelle Rae,
Pop|Rock,Icona Pop,
Pop|Rock,James Bay,
Pop|Rock,James Blunt,
Pop|Rock,Jason Mraz,
Pop|Rock,Juke Ross,
Pop|Rock,Justin Nozuka,
Pop|Rock,Kate Boy,
Pop|Rock,Kiiara,
Pop|Rock,Kim Petras,
Pop|Rock,Kimbra,
Pop|Rock,Kina Grannis,
Pop|Rock,King Princess,
Pop|Rock,Lana Del Rey,
Pop|Rock,LOLAWOLF,
Pop|Rock,Lorde,
Pop|Rock,Lykke Li,
Pop|Rock,Måneskin,
Pop|Rock,MARINA,
Pop|Rock,Maroon 5,
Pop|Rock,Michelle Branch,
Pop|Rock,Michl,
Pop|Rock,Molchat Doma,
Pop|Rock,MUNA,
Pop|Rock,Nina Nesbitt,
Pop|Rock,Noah Kahan,
Pop|Rock,Oh Land,
Pop|Rock,OneRepublic,
Pop|Rock,Parachute,
Pop|Rock,Passenger,
Pop|Rock,Phoebe Ryan,
Pop|Rock,Rina Sawayama,
Pop|Rock,Robyn,
Pop|Rock,Ruel,
Pop|Rock,Running Touch,
Pop|Rock,SAFIA,
Pop|Rock,Sasha Sloan,
Pop|Rock,Sizzy Rocket,
Pop|Rock,Sky Ferreira,
Pop|Rock,Skylar Grey,
Pop|Rock,Slayyyter,
Pop|Rock,Sophie,
Pop|Rock,Taylor Dayne,
Pop|Rock,Terror Jr,
Pop|Rock,The Script,
Pop|Rock,Tom Walker,
Pop|Rock,Tove Styrke,
Pop|Rock,Transviolet,
Pop|Rock,Us the Duo,
Pop|Rock,V€RIT€,
Pop|Rock,Vallis Alps,
Pop|Rock,XYLØ,
Pop|Rock,Yaeji,
Pop|Rock,Yard Act,
Pop|Rock,Your Smith,
Pop|Rock,Zella Day,
R&B,070 Shake,
R&B,1010 Benja SL,
R&B,A.Chal,
R&B,Aaron Neville,
R&B,ABRA,
R&B,Adrian Daniel,
R&B,Al Green,
R&B,Alexander 23,
R&B,Alice Smith,
R&B,Alicia Keys,
R&B,Alina Baraz,
R&B,All-4-One,
R&B,Allan Rayman,
R&B,Allen Stone,
R&B,Aloe Blacc,
R&B,Always Never,
R&B,AMA LOU,
R&B,Amber Mark,
R&B,Amir Obe,
R&B,Andra Day,
R&B,Angela Bofill,
R&B,Angie Stone,
R&B,Anita Baker,
R&B,Anna Wise,
R&B,Anomalie,
R&B,Anthony Evans,
R&B,Anthony Hamilton,
R&B,Aretha Franklin,
R&B,Ari Lennox,
R&B,Arin Ray,
R&B,Arlo Parks,
R&B,Ashanti,
R&B,Autre Ne Veut,
R&B,Avant,
R&B,Average White Band,
R&B,Babyface,
R&B,Bakar,
R&B,Bane's World,
R&B,Barbara Mason,
R&B,Beabadoobee,
R&B,Bell Biv DeVoe,
R&B,Bellows,
R&B,Berhana,
R&B,Bilal,
R&B,Black Pumas,
R&B,Blackstreet,
R&B,Bloodstone,
R&B,Bobby Brown,
R&B,Bobby Womack,
R&B,Booker T. Jones,
R&B,Bootsy Collins,
R&B,Boyz II Men,
R&B,Brandy,
R&B,Brenton Wood,
R&B,Brian McKnight,
R&B,Bruno Major,
R&B,Busty and the Bass,
R&B,Caleb Hawley,
R&B,Cautious Clay,
R&B,Cavetown,
R&B,CeCe Winans,
R&B,Chaka Khan,
R&B,Charles Bradley,
R&B,Charlie Wilson,
R&B,Charlotte Day Wilson,
R&B,Chloe Moriondo,
R&B,Chloe x Halle,
R&B,Choker,
R&B,Chrisette Michele,
R&B,Christian French,
R&B,Claud,
R&B,Conan Gray,
R&B,Corinne Bailey Rae,
R&B,Craig David,
R&B,Cuco,
R&B,Curtis Harding,
R&B,Cyril Hahn,
R&B,Daley,
R&B,D'angelo,
R&B,Daniel Caesar,
R&B,Danity Kane,
R&B,Darlene Love,
R&B,Dawn Richard,
R&B,DDG,
R&B,Deborah Cox,
R&B,Devvon Terrell,
R&B,Diana Ross,
R&B,Diddy - Dirty Money,
R&B,Dijon,
R&B,Dionne Warwick,
R&B,Drama,
R&B,Dru Hill,
R&B,Duffy,
R&B,dvsn,
R&B,"Earth, Wind & Fire",
R&B,Elder Island,
R&B,ELHAE,
R&B,Ella Mai,
R&B,Emily King,
R&B,Emotional Oranges,
R&B,En Vogue,
R&B,Eric Bellinger,
R&B,Eric Benét,
R&B,Erica Campbell,
R&B,Erykah Badu,
R&B,Estelle,
R&B,"Evelyn ""Champagne"" King",
R&B,Fantasia,
R&B,Floetry,
R&B,Four Tops,
R&B,Francis and the Lights,
R&B,Frank Ocean,
R&B,Frankie Beverly,
R&B,Frankie J,
R&B,Freddie Jackson,
R&B,Gabriel Garz„n-Montano,
R&B,Gallant,
R&B,Gavin Turek,
R&B,George Clinton,
R&B,Gerald Levert,
R&B,Ginuwine,
R&B,Gladys Knight,
R&B,Goapele,
R&B,Guy,
R&B,H.E.R.,
R&B,Hablot Brown,
R&B,Hiatus Kaiyote,
R&B,Immature,
R&B,India.Arie,
R&B,Isaac Hayes,
R&B,J. Holiday,
R&B,Jack Garratt,
R&B,Jacob Banks,
R&B,Jacob Collier,
R&B,Jade Novah,
R&B,Jaheim,
R&B,James Brown,
R&B,James Hunter,
R&B,James Morrison,
R&B,James Vickery,
R&B,Jamie Isaac,
R&B,Jamie Lidell,
R&B,Jamie Woon,
R&B,Jamila Woods,
R&B,Janet Jackson,
R&B,Janine,
R&B,Jasper Bones,
R&B,Jay Prince,
R&B,Jazmine Sullivan,
R&B,Jeffrey Osborne,
R&B,Jennifer Hudson,
R&B,Jessie Ware,
R&B,Jhené Aiko,
R&B,Jill Scott,
R&B,JMSN,
R&B,Jodeci,
R&B,Joe,
R&B,Joey Dosik,
R&B,John Legend,
R&B,Johnny Gill,
R&B,Joji,
R&B,Jon B.,
R&B,Jonathan McReynolds,
R&B,Jordan Rakei,
R&B,Jorja Smith,
R&B,Joss Stone,
R&B,JP Saxe,
R&B,Judith Hill,
R&B,Jungle,
R&B,Justine Skye,
R&B,K. Michelle,
R&B,Kalin White,
R&B,Kandi,
R&B,Kari Faux,
R&B,Kaytranada,
R&B,K-Ci & JoJo,
R&B,Keith Sweat,
R&B,Kelela,
R&B,Kelis,
R&B,Kelsey Lu,
R&B,KEM,
R&B,keshi,
R&B,Kevin Garrett,
R&B,Kevin Ross,
R&B,Keyshia Cole,
R&B,Khai Dreams,
R&B,Khalid,
R&B,Khruangbin,
R&B,Kiah Victoria,
R&B,Kirk Franklin,
R&B,Kool & The Gang,
R&B,Kyle Dion,
R&B,LaBelle,
R&B,Lady Wray,
R&B,Lalah Hathaway,
R&B,LAUNDRY DAY,
R&B,Laura Mvula,
R&B,Lawrence,
R&B,Ledisi,
R&B,Lee Fields,
R&B,Lee Fields & The Expressions,
R&B,Leela James,
R&B,Lëpsley,
R&B,Les Nubians,
R&B,Lianne La Havas,
R&B,Lion Babe,
R&B,Lionel Richie,
R&B,Lisa Fischer,
R&B,Lisa Stansfield,
R&B,Lo-Fang,
R&B,Lolo Zoua´,
R&B,Loyle Carner,
R&B,Lucky Daye,
R&B,Luh Kel,
R&B,Luke James,
R&B,Lyfe Jennings,
R&B,Mac Ayres,
R&B,Macy Gray,
R&B,Mahalia,
R&B,Majid Jordan,
R&B,Mali Music,
R&B,Mariah the Scientist,
R&B,Mario,
R&B,Marsha Ambrosius,
R&B,Mary J. Blige,
R&B,Mary Mary,
R&B,Masego,
R&B,Maverick Sabre,
R&B,Mavis Staples,
R&B,Maxwell,
R&B,Mayer Hawthorne,
R&B,Maze featuring Frankie Beverly,
R&B,Melanie Fiona,
R&B,MeShell NdegeOcello,
R&B,Michael Blume,
R&B,Michael Kiwanuka,
R&B,Michael Seyer,
R&B,Miguel,
R&B,Mike Farris,
R&B,MIKNNA,
R&B,Mindless Behavior,
R&B,Mint Condition,
R&B,Monica,
R&B,Monte Booker,
R&B,Moonchild,
R&B,Moses Sumney,
R&B,Mr Jukes,
R&B,Ms. Lauryn Hill,
R&B,Musiq Soulchild,
R&B,mxmtoon,
R&B,Mýa,
R&B,Myles Cameron,
R&B,Nai Palm,
R&B,NAO,
R&B,Natalie Cole,
R&B,Neil Frances,
R&B,New Edition,
R&B,Ne-Yo,
R&B,Nick Hakim,
R&B,Nick Waterhouse,
R&B,Nikka Costa,
R&B,Nina Sky,
R&B,Nneka,
R&B,Odie,
R&B,Omar Apollo,
R&B,Omarion,
R&B,Orion Sun,
R&B,Oshun,
R&B,Parcels,
R&B,Patti LaBelle,
R&B,Peabo Bryson,
R&B,Peachy!,
R&B,People's Choice,
R&B,Phony Ppl,
R&B,Phora,
R&B,Phum Viphurit,
R&B,Pink Sweat$,
R&B,PJ Morton,
R&B,PREP,
R&B,Prince,
R&B,Puma Blue,
R&B,Queen Naija,
R&B,Quincy,
R&B,R. Kelly,
R&B,R.LUM.R,
R&B,Rag'n'Bone Man,
R&B,Raheem DeVaughn,
R&B,Rahsaan Patterson,
R&B,Raleigh Ritchie,
R&B,Raphael Saadiq,
R&B,Rationale,
R&B,Raveena,
R&B,Ravyn Lenae,
R&B,RAY BLK,
R&B,Remi Wolf,
R&B,Rex Orange County,
R&B,Riz La Vie,
R&B,Ro James,
R&B,Robin Thicke,
R&B,role model,
R&B,Ron Isley,
R&B,Rosehardt,
R&B,Ruben Studdard,
R&B,Ryan Beatty,
R&B,Ryan Hemsworth,
R&B,Ryan Leslie,
R&B,S.O.S. Band,
R&B,Sabrina Claudio,
R&B,Samm Henshaw,
R&B,Sampha,
R&B,Sango,
R&B,Scary Pockets,
R&B,Seal,
R&B,Seinabo Sey,
R&B,Selah Sue,
R&B,Sevdaliza,
R&B,Sevyn Streeter,
R&B,Sharon Jones and the Dap-Kings,
R&B,Sheila E.,
R&B,Shy Girls,
R&B,Silk,
R&B,Sinead Harnett,
R&B,SiR,
R&B,Sir Charles Jones,
R&B,Sister Sledge,
R&B,Smokey Robinson,
R&B,Snoh Aalegra,
R&B,SOHN,
R&B,Sonder,
R&B,SOSUPERSAM,
R&B,Souly Had,
R&B,SPZRKT,
R&B,St. Paul & The Broken Bones,
R&B,Stephanie Mills,
R&B,Stevie Wonder,
R&B,Sudan Archives,
R&B,Surfaces,
R&B,Swamp Dogg,
R&B,Syd,
R&B,Take 6,
R&B,Ta-ku,
R&B,Tamar Braxton,
R&B,Tamia,
R&B,Tank,
R&B,Taylor McFerrin,
R&B,Teddy Riley,
R&B,Teena Marie,
R&B,Teyana Taylor,
R&B,The Blind Boys of Alabama,
R&B,The Chi-Lites,
R&B,The Commonheart,
R&B,The Dip,
R&B,The Internet,
R&B,The Isley Brothers,
R&B,The Main Squeeze,
R&B,The Manhattans,
R&B,The O'Jays,
R&B,The O'My's,
R&B,The Spinners,
R&B,The Stylistics,
R&B,The Temptations,
R&B,The Trammps,
R&B,The Whispers,
R&B,Theo Katzman,
R&B,THEY.,
R&B,Thirdstory,
R&B,Thundercat,
R&B,TLC,
R&B,Tobi Lou,
R&B,Tom Misch,
R&B,Toni Braxton,
R&B,Tony! Toni! Toné!,
R&B,Trevor Jackson,
R&B,Trey Songz,
R&B,Troop,
R&B,Tuxedo,
R&B,Tyrese,
R&B,UMI,
R&B,Usher,
R&B,Van Hunt,
R&B,VanJess,
R&B,Victor Internet,
R&B,VV Brown,
R&B,WAR,
R&B,Will Downing,
R&B,William Singe,
R&B,Xavier Omar,
R&B,Xscape,
R&B,Yeek,
R&B,Yellow Days,
R&B,Yolanda Adams,
R&B,Yuna,
R&B,Zack Villere,
R&B|Other Music,Al Jarreau,
R&B|Other Music,BADBADNOTGOOD,
R&B|Other Music,Braxton Cook,
R&B|Other Music,Cory Henry & The Funk Apostles,
R&B|Other Music,Diana Krall,
R&B|Other Music,Esperanza Spalding,
R&B|Other Music,Ezra Collective,
R&B|Other Music,George Benson,
R&B|Other Music,Gregory Porter,
R&B|Other Music,Jamie Cullum,
R&B|Other Music,José James,
R&B|Other Music,Kamaal Williams,
R&B|Other Music,Kamasi Washington,
R&B|Other Music,Lizz Wright,
R&B|Other Music,Madeleine Peyroux,
R&B|Other Music,Melody Gardot,
R&B|Other Music,R+R=Now,
R&B|Other Music,Rachelle Ferrell,
R&B|Other Music,Robert Glasper,
R&B|Other Music,Shuggie Otis,
R&B|Other Music,Steve Tyrell,
R&B|Other Music,Takuya Kuroda,
R&B|Other Music,Tasha Cobbs,
R&B|Other Music,The Budos Band,
R&B|Other Music,The Meters,
R&B|Other Music,Tower of Power,
R&B|Other Music,Travis Greene,
R&B|Other Non-Music,Gil Scott-Heron,
R&B|Rap/Hip-Hop,24hrs,
R&B|Rap/Hip-Hop,6LACK,
R&B|Rap/Hip-Hop,88GLAM,
R&B|Rap/Hip-Hop,August Alsina,
R&B|Rap/Hip-Hop,B2K,
R&B|Rap/Hip-Hop,BJ the Chicago Kid,
R&B|Rap/Hip-Hop,Bow Wow,
R&B|Rap/Hip-Hop,Brent Faiyaz,
R&B|Rap/Hip-Hop,Buddy,
R&B|Rap/Hip-Hop,Chris Brown,
R&B|Rap/Hip-Hop,Common,
R&B|Rap/Hip-Hop,DeJ Loaf,
R&B|Rap/Hip-Hop,Eli Sostre,
R&B|Rap/Hip-Hop,Fabolous,
R&B|Rap/Hip-Hop,G4shi,
R&B|Rap/Hip-Hop,GoldLink,
R&B|Rap/Hip-Hop,Jacquees,
R&B|Rap/Hip-Hop,Jagged Edge,
R&B|Rap/Hip-Hop,Jamie Foxx,
R&B|Rap/Hip-Hop,Jazz Cartier,
R&B|Rap/Hip-Hop,Jeremih,
R&B|Rap/Hip-Hop,Kash Doll,
R&B|Rap/Hip-Hop,Leikeli47,
R&B|Rap/Hip-Hop,Little Simz,
R&B|Rap/Hip-Hop,LL Cool J,
R&B|Rap/Hip-Hop,Lloyd,
R&B|Rap/Hip-Hop,Marc E. Bassy,
R&B|Rap/Hip-Hop,Mase,
R&B|Rap/Hip-Hop,MC Hammer,
R&B|Rap/Hip-Hop,Nessly,
R&B|Rap/Hip-Hop,Noname,
R&B|Rap/Hip-Hop,Pretty Ricky,
R&B|Rap/Hip-Hop,Q-tip,
R&B|Rap/Hip-Hop,Rexx Life Raj,
R&B|Rap/Hip-Hop,Roy Wood$,
R&B|Rap/Hip-Hop,Saba,
R&B|Rap/Hip-Hop,Sampa The Great,
R&B|Rap/Hip-Hop,Sean Combs,
R&B|Rap/Hip-Hop,Slum Village,
R&B|Rap/Hip-Hop,Smino,
R&B|Rap/Hip-Hop,SZA,
R&B|Rap/Hip-Hop,The Foreign Exchange,
R&B|Rap/Hip-Hop,The-Dream,
R&B|Rap/Hip-Hop,T-Pain,
R&B|Rap/Hip-Hop,Trevor Daniel,
R&B|Rap/Hip-Hop,Ty Dolla $ign,
R&B|Rap/Hip-Hop,Yung Bleu,
R&B|Rock,Arca,
R&B|Rock,Barry Manilow,
R&B|Rock,Ben Watt,
R&B|Rock,Blood Orange,
R&B|Rock,boy pablo,
R&B|Rock,Brittany Howard,
R&B|Rock,Carole King,
R&B|Rock,Cass McCombs,
R&B|Rock,Christopher Cross,
R&B|Rock,Clairo,
R&B|Rock,Connan Mockasin,
R&B|Rock,Cosmo's Midnight,
R&B|Rock,Crooked Colours,
R&B|Rock,Empress Of,
R&B|Rock,Etta James,
R&B|Rock,Flight Facilities,
R&B|Rock,Frankie Cosmos,
R&B|Rock,Frankie Valli & The Four Seasons,
R&B|Rock,girl in red,
R&B|Rock,Gus Dapperton,
R&B|Rock,How to Dress Well,
R&B|Rock,James Blake,
R&B|Rock,Kevin Morby,
R&B|Rock,Kindness,
R&B|Rock,Leon Bridges,
R&B|Rock,Level 42,
R&B|Rock,Matt Duncan,
R&B|Rock,Men I Trust,
R&B|Rock,Michael McDonald,
R&B|Rock,Mr Twin Sister,
R&B|Rock,Nick Mulvey,
R&B|Rock,Nilufer Yanya,
R&B|Rock,NoMBe,
R&B|Rock,Paolo Nutini,
R&B|Rock,Poolside,
R&B|Rock,Ray Charles,
R&B|Rock,Rhye,
R&B|Rock,Roberta Flack,
R&B|Rock,Roosevelt,
R&B|Rock,Roy Blair,
R&B|Rock,RY X,
R&B|Rock,Sidney Gish,
R&B|Rock,Simply Red,
R&B|Rock,slenderbodies,
R&B|Rock,Son Little,
R&B|Rock,Still Woozy,
R&B|Rock,Taj Mahal,
R&B|Rock,Tei Shi,
R&B|Rock,The Marías,
R&B|Rock,The Righteous Brothers,
R&B|Rock,Todd Rundgren,
R&B|Rock,TOPS,
R&B|Rock,Toro y Moi,
R&B|Rock,Unknown Mortal Orchestra,
R&B|Rock,Vansire,
Rap/Hip-Hop,$NOT,
Rap/Hip-Hop,$uicideboy$,
Rap/Hip-Hop,03 Greedo,
Rap/Hip-Hop,1TakeJay,
Rap/Hip-Hop,2 Chainz,
Rap/Hip-Hop,2 Skinnee J's,
Rap/Hip-Hop,21 Savage,
Rap/Hip-Hop,24kGoldn,
Rap/Hip-Hop,42 Dugg,
Rap/Hip-Hop,50 Cent,yes
Rap/Hip-Hop,6ix9ine,
Rap/Hip-Hop,A Boogie wit da Hoodie,
Rap/Hip-Hop,A Meazy,
Rap/Hip-Hop,A$AP Ferg,
Rap/Hip-Hop,A$AP Mob,
Rap/Hip-Hop,A$AP Rocky,yes
Rap/Hip-Hop,ABK,
Rap/Hip-Hop,Ab-Soul,
Rap/Hip-Hop,Abstract Rude,
Rap/Hip-Hop,Aceyalone,
Rap/Hip-Hop,Action Bronson,
Rap/Hip-Hop,AD,
Rap/Hip-Hop,Aesop Rock,
Rap/Hip-Hop,Afroman,
Rap/Hip-Hop,Allan Kingdom,
Rap/Hip-Hop,Allday,
Rap/Hip-Hop,Aminé,
Rap/Hip-Hop,Andre Nickatina,
Rap/Hip-Hop,Angel Haze,
Rap/Hip-Hop,Aries,
Rap/Hip-Hop,Arizona Zervas,
Rap/Hip-Hop,Army of the Pharaohs,
Rap/Hip-Hop,Asher Roth,
Rap/Hip-Hop,Astronautalis,
Rap/Hip-Hop,Atmosphere,
Rap/Hip-Hop,Audio Push,
Rap/Hip-Hop,Azealia Banks,
Rap/Hip-Hop,Azizi Gibson,
Rap/Hip-Hop,Baby Keem,
Rap/Hip-Hop,Bam,
Rap/Hip-Hop,Banks & Steelz,
Rap/Hip-Hop,Bas,
Rap/Hip-Hop,bbno$,
Rap/Hip-Hop,Beanie Sigel,
Rap/Hip-Hop,Beastie Boys,
Rap/Hip-Hop,Benny the Butcher,
Rap/Hip-Hop,Berner,
Rap/Hip-Hop,Big Boi,
Rap/Hip-Hop,Big Daddy Kane,
Rap/Hip-Hop,Big Dipper,
Rap/Hip-Hop,Big Freedia,
Rap/Hip-Hop,Big K.R.I.T.,
Rap/Hip-Hop,Big Sean,
Rap/Hip-Hop,Bino Rideaux,
Rap/Hip-Hop,Blac Youngsta,
Rap/Hip-Hop,Black Milk,
Rap/Hip-Hop,Black Star,
Rap/Hip-Hop,Blackalicious,
Rap/Hip-Hop,Blaze Ya Dead Homie,
Rap/Hip-Hop,Blue & Exile,
Rap/Hip-Hop,Blue Scholars,
Rap/Hip-Hop,Blueface,
Rap/Hip-Hop,Bodega Bamz,
Rap/Hip-Hop,Bone Thugs-n-Harmony,
Rap/Hip-Hop,Bones,
Rap/Hip-Hop,Boogie,
Rap/Hip-Hop,Boosie Badazz,
Rap/Hip-Hop,Boyfriend,
Rap/Hip-Hop,Brother Ali,
Rap/Hip-Hop,Bryson Tiller,
Rap/Hip-Hop,Buck 65,
Rap/Hip-Hop,Buckshot,
Rap/Hip-Hop,Bun B,
Rap/Hip-Hop,Busdriver,
Rap/Hip-Hop,Busta Rhymes,
Rap/Hip-Hop,Cal Scruby,
Rap/Hip-Hop,Caleborate,
Rap/Hip-Hop,Call Me Karizma,
Rap/Hip-Hop,Capone-N-Noreaga,
Rap/Hip-Hop,Cardi B,
Rap/Hip-Hop,Carnage,
Rap/Hip-Hop,Casey Veggies,
Rap/Hip-Hop,Caskey,
Rap/Hip-Hop,Caye,
